node_id,C,H,O,N,S,Cl,exp_mass,DBE,AImod,NOSC,O_C,H_C,N/C,S/C,Cl/C,DBE-O,DBE/C
239.139734,12,20,3,2,0,0,239.139734,4,0.058823529,-0.666666667,0.25,1.666666667,0.166666667,0,0,1,0.333333333
395.131604,14,24,11,2,0,0,395.131604,4,-0.538461538,0.285714286,0.785714286,1.714285714,0.142857143,0,0,-7,0.285714286
358.162432,15,25,7,3,0,0,358.162432,5,-0.176470588,-0.133333333,0.466666667,1.666666667,0.2,0,0,-2,0.333333333
342.229164,18,33,5,1,0,0,342.229164,3,-0.034482759,-1.111111111,0.277777778,1.833333333,0.055555556,0,0,-2,0.166666667
297.244135,18,34,3,0,0,0,297.244135,2,0.03030303,-1.555555556,0.166666667,1.888888889,0,0,0,-1,0.111111111
354.098957,19,17,6,1,0,0,354.098957,12,0.533333333,-0.105263158,0.315789474,0.894736842,0.052631579,0,0,6,0.631578947
351.07047,20,16,4,0,1,0,351.07047,13,0.588235294,-0.3,0.2,0.8,0,0.05,0,9,0.65
465.163675,20,26,9,4,0,0,465.163675,10,0.130434783,0.2,0.45,1.3,0.2,0,0,1,0.5
308.296287,20,39,1,1,0,0,308.296287,2,0.027027027,-1.7,0.05,1.95,0.05,0,0,1,0.1
434.193604,21,29,7,3,0,0,434.193604,9,0.172413793,-0.285714286,0.333333333,1.380952381,0.142857143,0,0,2,0.428571429
353.343124,23,46,2,0,0,0,353.343124,1,0,-1.826086957,0.086956522,2,0,0,0,-1,0.043478261
466.199406,25,29,6,3,0,0,466.199406,13,0.368421053,-0.32,0.24,1.16,0.12,0,0,7,0.52
417.265227,25,38,5,0,0,0,417.265227,7,0.2,-1.12,0.2,1.52,0,0,0,2,0.28
411.384773,26,52,3,0,0,0,411.384773,1,-0.020408163,-1.769230769,0.115384615,2,0,0,0,-2,0.038461538
322.006415,10,13,7,1,2,0,322.006415,5,-0.428571429,0.8,0.7,1.3,0.1,0.2,0,-2,0.5
324.022134,10,15,7,1,2,0,324.022134,4,-0.714285714,0.6,0.7,1.5,0.1,0.2,0,-3,0.4
246.097837,10,17,6,1,0,0,246.097837,3,-0.166666667,-0.2,0.6,1.7,0.1,0,0,-3,0.3
245.068144,11,10,3,4,0,0,245.068144,9,0.636363636,0.727272727,0.272727273,0.909090909,0.363636364,0,0,6,0.818181818
311.063083,11,12,7,4,0,0,311.063083,8,0.142857143,1.272727273,0.636363636,1.090909091,0.363636364,0,0,1,0.727272727
301.067904,11,14,8,2,0,0,301.067904,6,0,0.727272727,0.727272727,1.272727273,0.181818182,0,0,-2,0.545454545
242.085906,11,17,3,1,1,0,242.085906,4,0.066666667,-0.545454545,0.272727273,1.545454545,0.090909091,0.090909091,0,1,0.363636364
334.990427,11,4,9,4,0,0,334.990427,12,1.4,2.363636364,0.818181818,0.363636364,0.363636364,0,0,3,1.090909091
292.003494,11,7,5,3,1,0,292.003494,10,0.777777778,1.272727273,0.454545455,0.636363636,0.272727273,0.090909091,0,5,0.909090909
219.029955,11,8,5,0,0,0,219.029955,8,0.647058824,0.181818182,0.454545455,0.727272727,0,0,0,3,0.727272727
358.035201,12,13,8,3,1,0,358.035201,8,0,1.166666667,0.666666667,1.083333333,0.25,0.083333333,0,0,0.666666667
241.090651,12,18,3,0,1,0,241.090651,4,0.157894737,-0.833333333,0.25,1.5,0,0.083333333,0,1,0.333333333
349.091585,12,19,6,4,0,1,349.091585,5,-0.4,0.416666667,0.5,1.583333333,0.333333333,0,0.083333333,-1,0.416666667
365.086284,12,19,7,4,0,1,365.086284,5,-0.555555556,0.583333333,0.583333333,1.583333333,0.333333333,0,0.083333333,-2,0.416666667
308.117635,12,23,6,1,1,0,308.117635,2,-0.428571429,-0.5,0.5,1.916666667,0.083333333,0.083333333,0,-4,0.166666667
242.093654,13,13,2,3,0,0,242.093654,9,0.555555556,0,0.153846154,1,0.230769231,0,0,7,0.692307692
358.042043,13,13,11,1,0,0,358.042043,8,0.230769231,0.923076923,0.846153846,1,0.076923077,0,0,-3,0.615384615
244.109234,13,15,2,3,0,0,244.109234,8,0.444444444,-0.153846154,0.153846154,1.153846154,0.230769231,0,0,6,0.615384615
392.012191,13,15,9,1,2,0,392.012191,7,-0.090909091,0.769230769,0.692307692,1.153846154,0.076923077,0.153846154,0,-2,0.538461538
348.058258,13,19,6,1,2,0,348.058258,5,-0.142857143,0,0.461538462,1.461538462,0.076923077,0.153846154,0,-1,0.384615385
394.064178,14,21,8,1,2,0,394.064178,5,-0.285714286,0.142857143,0.571428571,1.5,0.071428571,0.142857143,0,-3,0.357142857
397.128609,14,26,9,2,1,0,397.128609,3,-0.692307692,0,0.642857143,1.857142857,0.142857143,0.071428571,0,-6,0.214285714
477.123427,14,27,12,4,0,1,477.123427,3,-1.75,0.642857143,0.857142857,1.928571429,0.285714286,0,0.071428571,-9,0.214285714
429.043446,15,14,13,2,0,0,429.043446,10,0.230769231,1.2,0.866666667,0.933333333,0.133333333,0,0,-3,0.666666667
347.100295,15,16,6,4,0,0,347.100295,10,0.375,0.533333333,0.4,1.066666667,0.266666667,0,0,4,0.666666667
402.032838,15,17,8,1,2,0,402.032838,8,0.125,0.4,0.533333333,1.133333333,0.066666667,0.133333333,0,0,0.533333333
295.101271,15,20,4,0,1,0,295.101271,6,0.25,-0.666666667,0.266666667,1.333333333,0,0.066666667,0,2,0.4
369.011265,15,6,8,4,0,0,369.011265,15,1,1.466666667,0.533333333,0.4,0.266666667,0,0,7,1
433.027393,16,10,11,4,0,0,433.027393,14,0.692307692,1.5,0.6875,0.625,0.25,0,0,3,0.875
256.090424,16,16,0,1,0,1,256.090424,9,0.533333333,-0.8125,0,1,0.0625,0,0.0625,9,0.5625
422.130697,16,25,12,1,0,0,422.130697,5,-0.222222222,0.125,0.75,1.5625,0.0625,0,0,-7,0.3125
429.032376,17,10,10,4,0,0,429.032376,15,0.75,1.294117647,0.588235294,0.588235294,0.235294118,0,0,5,0.882352941
332.09673,17,19,4,1,1,0,332.09673,9,0.384615385,-0.352941176,0.235294118,1.117647059,0.058823529,0.058823529,0,5,0.529411765
496.125093,17,27,12,3,1,0,496.125093,6,-0.571428571,0.470588235,0.705882353,1.588235294,0.176470588,0.058823529,0,-6,0.352941176
460.110192,18,23,13,1,0,0,460.110192,8,0.047619048,0.333333333,0.722222222,1.277777778,0.055555556,0,0,-5,0.444444444
494.144357,18,29,11,3,1,0,494.144357,6,-0.411764706,0.222222222,0.611111111,1.611111111,0.166666667,0.055555556,0,-5,0.333333333
482.150363,18,29,14,1,0,0,482.150363,5,-0.3,0.111111111,0.777777778,1.611111111,0.055555556,0,0,-9,0.277777778
498.14529,18,29,15,1,0,0,498.14529,5,-0.368421053,0.222222222,0.833333333,1.611111111,0.055555556,0,0,-10,0.277777778
545.167189,19,34,14,2,1,0,545.167189,4,-0.666666667,0.105263158,0.736842105,1.789473684,0.105263158,0.052631579,0,-10,0.210526316
417.065994,20,18,8,0,1,0,417.065994,12,0.466666667,0,0.4,0.9,0,0.05,0,4,0.6
403.133809,20,24,5,2,1,0,403.133809,10,0.310344828,-0.3,0.25,1.2,0.1,0.05,0,5,0.5
478.158308,20,33,8,1,2,0,478.158308,5,-0.153846154,-0.5,0.4,1.65,0.05,0.1,0,-3,0.25
374.066705,21,13,6,1,0,0,374.066705,16,0.705882353,0.095238095,0.285714286,0.619047619,0.047619048,0,0,10,0.761904762
462.134543,21,25,7,3,1,0,462.134543,11,0.259259259,0,0.333333333,1.19047619,0.142857143,0.047619048,0,4,0.523809524
434.128592,21,25,7,1,1,0,434.128592,10,0.290322581,-0.285714286,0.333333333,1.19047619,0.047619048,0.047619048,0,3,0.476190476
479.179692,21,28,9,4,0,0,479.179692,10,0.12,0.095238095,0.428571429,1.333333333,0.19047619,0,0,1,0.476190476
509.186243,21,34,14,0,0,0,509.186243,5,-0.142857143,-0.285714286,0.666666667,1.619047619,0,0,0,-9,0.238095238
402.268968,21,41,4,1,1,0,402.268968,2,-0.117647059,-1.333333333,0.19047619,1.952380952,0.047619048,0.047619048,0,-2,0.095238095
437.099692,22,18,8,2,0,0,437.099692,15,0.5625,0.181818182,0.363636364,0.818181818,0.090909091,0,0,7,0.681818182
521.186683,22,34,14,0,0,0,521.186683,6,-0.066666667,-0.272727273,0.636363636,1.545454545,0,0,0,-8,0.272727273
523.140465,23,28,10,2,1,0,523.140465,11,0.2,0,0.434782609,1.217391304,0.086956522,0.043478261,0,1,0.47826087
396.218829,24,31,4,1,0,0,396.218829,10,0.333333333,-0.833333333,0.166666667,1.291666667,0.041666667,0,0,6,0.416666667
465.195993,24,34,7,0,1,0,465.195993,8,0.179487179,-0.75,0.291666667,1.416666667,0,0.041666667,0,1,0.333333333
383.35377,24,48,3,0,0,0,383.35377,1,-0.022222222,-1.75,0.125,2,0,0,0,-2,0.041666667
419.132838,25,24,4,0,1,0,419.132838,14,0.5,-0.56,0.16,0.96,0,0.04,0,10,0.56
543.191499,25,36,11,0,1,0,543.191499,8,0.081081081,-0.48,0.44,1.44,0,0.04,0,-3,0.32
497.146427,26,26,10,0,0,0,497.146427,14,0.428571429,-0.230769231,0.384615385,1,0,0,0,4,0.538461538
524.250641,26,39,10,1,0,0,524.250641,8,0.1,-0.615384615,0.384615385,1.5,0.038461538,0,0,-2,0.307692308
540.199851,27,31,9,3,0,0,540.199851,14,0.333333333,-0.148148148,0.333333333,1.148148148,0.111111111,0,0,5,0.518518519
560.215383,28,35,11,1,0,0,560.215383,12,0.255813953,-0.357142857,0.392857143,1.25,0.035714286,0,0,1,0.428571429
514.245492,28,37,8,1,0,0,514.245492,11,0.260869565,-0.642857143,0.285714286,1.321428571,0.035714286,0,0,3,0.392857143
455.281245,28,40,5,0,0,0,455.281245,9,0.254901961,-1.071428571,0.178571429,1.428571429,0,0,0,4,0.321428571
485.283288,28,42,3,2,1,0,485.283288,9,0.191489362,-1,0.107142857,1.5,0.071428571,0.035714286,0,6,0.321428571
595.240735,29,40,13,0,0,0,595.240735,10,0.155555556,-0.482758621,0.448275862,1.379310345,0,0,0,-3,0.344827586
609.256878,30,42,13,0,0,0,609.256878,10,0.14893617,-0.533333333,0.433333333,1.4,0,0,0,-3,0.333333333
276.985118,9,10,6,0,2,0,276.985118,5,0,0.666666667,0.666666667,1.111111111,0,0.222222222,0,-1,0.555555556
493.11821,14,27,13,4,0,1,493.11821,3,-2.142857143,0.785714286,0.928571429,1.928571429,0.285714286,0,0.071428571,-10,0.214285714
441.203914,24,30,6,2,0,0,441.203914,11,0.315789474,-0.5,0.25,1.25,0.083333333,0,0,5,0.458333333
585.25562,28,42,13,0,0,0,585.25562,8,0.069767442,-0.571428571,0.464285714,1.5,0,0,0,-5,0.285714286
307.08048,19,16,2,0,1,0,307.08048,12,0.588235294,-0.526315789,0.105263158,0.842105263,0,0.052631579,0,10,0.631578947
394.105113,20,17,6,3,0,0,394.105113,14,0.571428571,0.2,0.3,0.85,0.15,0,0,8,0.7
435.11211,21,24,8,0,1,0,435.11211,10,0.3125,-0.285714286,0.380952381,1.142857143,0,0.047619048,0,2,0.476190476
481.332967,31,46,4,0,0,0,481.332967,9,0.24137931,-1.225806452,0.129032258,1.483870968,0,0,0,5,0.290322581
326.063559,12,13,8,3,0,0,326.063559,8,0.2,1,0.666666667,1.083333333,0.25,0,0,0,0.666666667
351.107389,12,21,6,4,0,1,351.107389,4,-0.6,0.25,0.5,1.75,0.333333333,0,0.083333333,-2,0.333333333
