source,target
279.036941,281.052653
283.105242,283.068866
325.115841,283.068866
270.146174,240.099185
227.067442,240.099185
254.114852,240.099185
252.099225,240.099185
268.094134,240.099185
225.088267,240.099185
280.130473,240.099185
255.062447,240.099185
298.104728,240.099185
289.050199,288.06616
260.060098,288.06616
275.070953,291.065848
319.097103,291.065848
305.08158,291.065848
290.034213,291.065848
257.060301,291.065848
303.065813,291.065848
228.124408,215.092747
233.103314,215.092747
245.139749,215.092747
247.082578,215.092747
294.101879,280.086222
235.101119,280.086222
306.101901,280.086222
308.08114,280.086222
301.069591,269.079794
302.064972,316.080701
344.075853,332.07589
362.086481,332.07589
346.091551,332.07589
351.07047,332.07589
311.100034,298.068319
280.057763,298.068319
268.094134,298.068319
330.058104,298.068319
253.083195,298.068319
298.104728,298.068319
221.093345,206.082456
222.077318,206.082456
235.072562,206.082456
251.067588,206.082456
238.072217,206.082456
246.113734,206.082456
252.099225,267.110112
268.094134,267.110112
297.120905,283.105242
295.105192,283.105242
325.115841,283.105242
284.089248,283.105242
257.096708,225.124605
241.11946,225.124605
240.087889,225.124605
239.103853,225.124605
257.114416,225.124605
255.135252,225.124605
241.11946,257.096708
223.108981,257.096708
255.080974,257.096708
258.080749,257.096708
257.060301,257.096708
325.078589,309.083652
241.11946,213.113336
247.11884,213.113336
243.160373,213.113336
258.098477,213.113336
229.108252,213.113336
255.160352,213.113336
242.140062,228.124408
244.119284,228.124408
343.08052,313.069905
345.059658,313.069905
315.085767,360.070877
390.11789,360.070877
344.075853,328.080938
362.086481,328.080938
346.091551,328.080938
347.075495,328.080938
315.085767,344.075853
362.086481,344.075853
346.091551,344.075853
386.122861,344.075853
261.134603,231.124008
245.139749,231.124008
265.111755,231.124008
263.096122,231.124008
259.155316,231.124008
271.155342,231.124008
259.132663,275.127574
327.099181,275.127574
292.122664,294.101879
264.091267,294.101879
249.116758,294.101879
306.101901,294.101879
265.111755,294.101879
263.113738,299.090484
247.11884,299.090484
359.075515,331.080566
343.08052,331.080566
373.127579,331.080566
347.075495,331.080566
346.091551,362.086481
402.117792,362.086481
322.055142,362.086481
302.064972,330.096261
386.122861,346.091551
257.104459,259.083683
289.094316,259.083683
260.140755,230.093793
310.050548,230.093793
248.059924,230.093793
260.068014,230.093793
246.088729,230.093793
303.110205,261.099594
277.09452,261.099594
319.105122,261.099594
280.094188,261.099594
260.068014,261.099594
246.088729,261.099594
351.095087,293.089543
335.100163,293.089543
284.089248,293.089543
312.084132,293.089543
294.073538,293.089543
310.050548,280.076373
344.092307,344.055948
264.099109,344.055948
316.049857,344.055948
305.125705,279.109972
291.109956,279.109972
264.099109,279.109972
315.086719,279.109972
266.078292,279.109972
222.113767,207.102843
287.059673,207.102843
219.102808,207.102843
221.118508,207.102843
295.105192,297.120905
337.152167,297.120905
325.115841,297.120905
284.089248,297.120905
371.121487,313.116004
300.120179,252.135449
296.125241,252.135449
359.075515,341.064892
301.123174,303.102364
305.08158,303.102364
315.102323,303.102364
331.097263,303.102364
242.140062,270.146174
298.141105,270.146174
255.135252,270.146174
361.091246,359.075515
347.075495,359.075515
357.059951,375.070504
384.070848,375.070504
373.091114,343.08052
291.108931,343.08052
307.103803,343.08052
307.085982,341.091512
309.101748,341.091512
307.103803,341.091512
397.112848,369.117907
306.101901,292.122664
247.137579,292.122664
307.085982,292.122664
291.091059,292.122664
376.102328,377.086356
403.102105,377.086356
315.122278,345.096442
387.107008,345.096442
393.081167,345.096442
360.107466,376.102328
350.086597,376.102328
315.07379,287.078866
317.089513,287.078866
259.12014,257.104459
291.109956,257.104459
258.088439,257.104459
229.098336,257.104459
371.075626,357.059951
355.08073,357.059951
289.094316,259.12014
291.109956,259.12014
278.114772,259.12014
260.104136,259.12014
334.116031,293.125863
309.120768,293.125863
351.131343,293.125863
280.094188,293.125863
294.109865,293.125863
312.120484,293.125863
292.032092,332.063418
316.086227,332.063418
307.095596,305.079922
317.079902,305.079922
277.156101,235.145511
235.109112,235.145511
222.113767,235.145511
315.102323,235.145511
249.124714,235.145511
267.135265,235.145511
283.130221,235.145511
295.105192,295.141627
325.115841,295.141627
310.104896,295.141627
311.13673,327.131623
355.12651,327.131623
353.147361,327.131623
350.109895,384.070848
355.08073,384.070848
332.099201,384.070848
357.132872,315.122278
289.106535,315.122278
390.141177,350.109895
362.109888,350.109895
355.08073,371.075626
415.103821,381.116136
445.078085,381.116136
327.138829,301.123174
259.076178,301.123174
361.107637,317.117844
287.070809,317.117844
316.086227,317.117844
399.097486,385.081741
353.091919,385.081741
383.102566,385.081741
391.101685,357.096151
327.121986,357.096151
415.101618,357.096151
375.10671,357.096151
373.090966,388.101821
373.091114,391.101685
375.10671,327.121986
357.132872,359.112024
361.091246,359.112024
350.086597,390.11789
327.128847,341.14451
359.110634,341.14451
363.055038,381.021097
301.094489,299.078814
270.088741,299.078814
254.093718,299.078814
317.089513,315.07379
330.037103,315.07379
349.079178,301.094489
303.110205,301.094489
319.105122,301.094489
302.078478,301.094489
335.100163,317.089513
288.099409,317.089513
377.074107,349.079178
349.042743,349.079178
348.047607,349.079178
277.09452,303.110205
319.105122,303.110205
262.120001,303.110205
294.109865,303.110205
304.094192,303.110205
309.080484,279.069889
253.054182,279.069889
239.038582,279.069889
324.054967,279.069889
352.097873,322.087233
337.050504,322.087233
351.112311,338.080605
366.075548,338.080605
399.15286,369.10586
339.095298,369.10586
411.152844,369.10586
331.095786,333.074939
333.111373,333.074939
417.114535,375.103948
278.151243,307.141341
279.135206,307.141341
383.121474,371.121487
326.136339,371.121487
292.166952,278.151243
304.166989,278.151243
308.161863,278.151243
250.119937,278.151243
280.130473,278.151243
322.141065,278.151243
265.119503,278.151243
293.1145,278.151243
279.135206,278.151243
260.165826,234.150144
252.160713,234.150144
236.129323,234.150144
279.135206,234.150144
250.145037,234.150144
276.160715,234.150144
379.137093,393.116262
328.151894,296.162106
338.172678,296.162106
310.141269,296.162106
326.136339,296.162106
403.102105,401.086395
399.107229,401.086395
331.15159,283.166901
285.145922,299.16164
327.192929,299.16164
357.167186,299.16164
313.140808,299.16164
300.145673,299.16164
383.102566,399.097486
349.164413,331.153824
319.105122,334.116031
389.122701,387.107008
405.117765,403.102105
377.15573,365.155739
395.166328,365.155739
393.187063,365.155739
386.122861,402.117792
373.091114,386.122861
302.161218,257.17613
289.148219,257.17613
259.155316,257.17613
271.155342,257.17613
283.191866,257.17613
357.132872,389.122701
387.143506,389.122701
403.138581,405.117765
387.143506,357.132872
415.138163,373.127579
321.155955,373.127579
259.155316,259.191707
300.018635,266.057681
317.060388,289.054264
249.023011,289.054264
261.022916,289.054264
291.033455,289.054264
327.028546,325.049374
261.087503,325.049374
350.082033,270.125258
302.115014,270.125258
288.091352,270.125258
304.086249,270.125258
304.130726,270.125258
248.165907,246.150208
258.150251,246.150208
264.160834,246.150208
218.118911,246.150208
294.134899,246.150208
290.13999,246.150208
384.112487,342.101839
308.096319,342.101839
355.133547,342.101839
344.117573,342.101839
300.091195,342.101839
370.096702,342.101839
308.114164,342.101839
360.112463,342.101839
345.111481,331.095786
304.166989,292.166952
277.156101,292.166952
308.161863,292.166952
264.160834,292.166952
250.119937,292.166952
334.177594,292.166952
262.120001,292.166952
293.150942,292.166952
292.130556,292.166952
279.135206,292.166952
340.151608,292.166952
264.160834,248.165907
218.118911,248.165907
292.155716,248.165907
333.111373,317.116473
313.177243,279.17173
308.161863,279.17173
264.160834,279.17173
265.15599,279.17173
337.177256,279.17173
281.150904,279.17173
320.161917,279.17173
293.150942,279.17173
249.124714,279.17173
309.145929,279.17173
323.161528,279.17173
309.17273,327.138829
327.102384,327.138829
346.133423,327.138829
453.148439,451.132777
503.104374,451.132777
367.162595,355.162613
356.146639,355.162613
312.156852,326.172576
311.161698,326.172576
370.162397,326.172576
341.135904,326.172576
327.156594,326.172576
391.138746,343.154078
429.117287,415.101618
431.133245,431.096868
331.15159,361.162173
375.141362,361.162173
331.11515,361.162173
359.146454,361.162173
395.166328,377.15573
417.18701,377.15573
405.150598,377.15573
471.114545,453.148439
443.123299,429.107618
365.145706,429.107618
381.122921,429.107618
363.142341,348.13148
332.154069,300.18197
326.197623,300.18197
358.187449,300.18197
302.161218,300.18197
286.166296,300.18197
309.182261,300.18197
312.182007,300.18197
341.17213,300.18197
344.171753,300.18197
332.117664,332.154069
319.122408,332.154069
331.122472,332.154069
347.117395,332.154069
317.14314,332.154069
