node_id,C,H,O,N,S,Cl,exp_mass,DBE,AImod,NOSC,O_C,H_C,N/C,S/C,Cl/C,DBE-O,DBE/C
281.052653,10,10,6,4,0,0,281.052653,8,0.333333333,1.4,0.6,1,0.4,0,0,2,0.8
283.068866,10,12,6,4,0,0,283.068866,7,0,1.2,0.6,1.2,0.4,0,0,1,0.7
253.094831,10,14,4,4,0,0,253.094831,6,0,0.6,0.4,1.4,0.4,0,0,2,0.6
240.099185,10,15,4,3,0,0,240.099185,5,0,0.2,0.4,1.5,0.3,0,0,1,0.5
288.06616,10,15,5,3,1,0,288.06616,5,-0.428571429,0.6,0.5,1.5,0.3,0.1,0,0,0.5
291.065848,10,16,6,2,1,0,291.065848,4,-0.5,0.4,0.6,1.6,0.2,0.1,0,-2,0.4
303.094719,10,16,7,4,0,0,303.094719,5,-1,1,0.7,1.6,0.4,0,0,-2,0.5
215.092747,10,16,5,0,0,0,215.092747,3,0.066666667,-0.6,0.5,1.6,0,0,0,-2,0.3
330.059763,10,18,9,1,0,1,330.059763,2,-0.777777778,0.3,0.9,1.8,0.1,0,0.1,-7,0.2
280.086222,10,19,6,1,1,0,280.086222,2,-0.6,-0.2,0.6,1.9,0.1,0.1,0,-4,0.2
269.079794,10,19,6,0,0,1,269.079794,1,-0.285714286,-0.7,0.6,1.9,0,0,0.1,-5,0.1
301.069591,10,19,8,0,0,1,301.069591,1,-0.5,-0.3,0.8,1.9,0,0,0.1,-7,0.1
316.080701,10,20,8,1,0,1,316.080701,1,-0.8,-0.1,0.8,2,0.1,0,0.1,-7,0.1
332.07589,10,20,9,1,0,1,332.07589,1,-1,0.1,0.9,2,0.1,0,0.1,-8,0.1
298.068319,11,13,7,3,0,0,298.068319,7,0.111111111,0.909090909,0.636363636,1.181818182,0.272727273,0,0,0,0.636363636
206.082456,11,13,3,1,0,0,206.082456,6,0.411764706,-0.363636364,0.272727273,1.181818182,0.090909091,0,0,3,0.545454545
267.110112,11,16,4,4,0,0,267.110112,6,0,0.363636364,0.363636364,1.454545455,0.363636364,0,0,2,0.545454545
283.105242,11,16,5,4,0,0,283.105242,6,-0.111111111,0.545454545,0.454545455,1.454545455,0.363636364,0,0,1,0.545454545
225.124605,11,18,3,2,0,0,225.124605,4,0.066666667,-0.545454545,0.272727273,1.636363636,0.181818182,0,0,1,0.363636364
257.096708,11,18,3,2,1,0,257.096708,4,-0.076923077,-0.363636364,0.272727273,1.636363636,0.181818182,0.090909091,0,1,0.363636364
309.083652,11,18,10,0,0,0,309.083652,3,-0.333333333,0.181818182,0.909090909,1.636363636,0,0,0,-7,0.272727273
213.113336,11,18,4,0,0,0,213.113336,3,0.111111111,-0.909090909,0.363636364,1.636363636,0,0,0,-1,0.272727273
228.124408,11,19,4,1,0,0,228.124408,3,0,-0.727272727,0.363636364,1.727272727,0.090909091,0,0,-1,0.272727273
297.074615,11,19,7,0,0,1,297.074615,2,-0.2,-0.454545455,0.636363636,1.727272727,0,0,0.090909091,-5,0.181818182
313.069905,11,19,8,0,0,1,313.069905,2,-0.285714286,-0.272727273,0.727272727,1.727272727,0,0,0.090909091,-6,0.181818182
360.070877,11,20,10,1,0,1,360.070877,2,-0.8,0.272727273,0.909090909,1.818181818,0.090909091,0,0.090909091,-8,0.181818182
328.080938,11,20,8,1,0,1,328.080938,2,-0.5,-0.090909091,0.727272727,1.818181818,0.090909091,0,0.090909091,-6,0.181818182
344.075853,11,20,9,1,0,1,344.075853,2,-0.636363636,0.090909091,0.818181818,1.818181818,0.090909091,0,0.090909091,-7,0.181818182
231.124008,11,20,5,0,0,0,231.124008,2,-0.058823529,-0.909090909,0.454545455,1.818181818,0,0,0,-3,0.181818182
275.127574,11,21,2,4,0,1,275.127574,3,-0.333333333,-0.454545455,0.181818182,1.909090909,0.363636364,0,0.090909091,1,0.272727273
294.101879,11,21,6,1,1,0,294.101879,2,-0.5,-0.363636364,0.545454545,1.909090909,0.090909091,0.090909091,0,-4,0.181818182
299.090484,11,21,7,0,0,1,299.090484,1,-0.333333333,-0.636363636,0.636363636,1.909090909,0,0,0.090909091,-6,0.090909091
315.085767,11,21,8,0,0,1,315.085767,1,-0.428571429,-0.454545455,0.727272727,1.909090909,0,0,0.090909091,-7,0.090909091
331.080566,11,21,9,0,0,1,331.080566,1,-0.538461538,-0.272727273,0.818181818,1.909090909,0,0,0.090909091,-8,0.090909091
362.086481,11,22,10,1,0,1,362.086481,1,-1,0.090909091,0.909090909,2,0.090909091,0,0.090909091,-9,0.090909091
330.096261,11,22,8,1,0,1,330.096261,1,-0.666666667,-0.272727273,0.727272727,2,0.090909091,0,0.090909091,-7,0.090909091
346.091551,11,22,9,1,0,1,346.091551,1,-0.818181818,-0.090909091,0.818181818,2,0.090909091,0,0.090909091,-8,0.090909091
